"오류 상세 및 설명","원본 ID","OS","중요도","구분","진행상태","기기종류"
"[로그인] 비밀번호 오류 안내가 화면 상단에 표시되지 않음","1","공통","최상","로그인/인증","신규","공통"
"[검색] 한글 초성 검색 결과가 중복으로 표시됨","2","Window","상","검색","신규","데스크탑"
"[대시보드] 위젯 순서를 변경한 뒤 새로고침하면 초기화됨","3","MacOS","상","대시보드","수정중","데스크탑"
"[알림] 읽은 알림의 배지가 즉시 사라지지 않음","4","공통","중","알림","신규","공통"
"[프로필] 긴 사용자 이름이 카드 영역을 벗어남","5","공통","하","프로필","수정완료","공통"
"[설정] 다크 모드 선택이 다음 접속에 유지되지 않음","6","MacOS","중","설정","신규","데스크탑"
"[목록] 마지막 페이지에서 다음 버튼이 활성화되어 있음","7","Window","하","목록","수정완료","데스크탑"
"[파일] 10MB 이상 파일 업로드 진행률이 멈춰 보임","8","공통","상","파일","수정중","공통"
"[댓글] 답글 작성 중 취소하면 입력 내용이 남아 있음","9","공통","하","댓글","신규","공통"
"[모바일] 가로 화면에서 하단 메뉴가 잘림","10","iOS","상","반응형","신규","모바일"
"[모바일] 키보드가 열린 상태에서 저장 버튼이 가려짐","11","Android","최상","반응형","수정중","모바일"
"[표] 정렬 후 선택한 행의 강조 표시가 다른 행으로 이동함","12","Window","상","데이터","신규","데스크탑"
"[필터] 날짜 범위를 초기화해도 쿼리 조건이 남아 있음","13","공통","중","데이터","수정완료","공통"
"[내보내기] CSV 파일의 한글이 일부 환경에서 깨짐","14","MacOS","상","내보내기","신규","데스크탑"
"[접근성] 모달을 닫은 뒤 키보드 초점이 본문으로 돌아오지 않음","15","공통","상","접근성","수정중","공통"
"[접근성] 아이콘 버튼에 스크린리더 이름이 없음","16","공통","최상","접근성","신규","공통"
"[네트워크] 오프라인 전환 시 재시도 안내가 표시되지 않음","17","공통","중","네트워크","신규","공통"
"[세션] 장시간 대기 후 첫 요청이 두 번 전송됨","18","공통","상","로그인/인증","수정중","공통"
"[캘린더] 월말 일정이 다음 달 첫 주에 중복 표시됨","19","Window","중","캘린더","수정완료","데스크탑"
"[에디터] 붙여넣은 링크 뒤에서 Enter 키가 동작하지 않음","20","MacOS","최상","에디터","신규","데스크탑"
"[에디터] 실행 취소 후 이미지 캡션이 복구되지 않음","21","공통","상","에디터","수정중","공통"
"[공유] 읽기 권한 사용자가 편집 메뉴를 볼 수 있음","22","공통","최상","권한","신규","공통"
"[공유] 만료된 링크의 안내 문구가 상황과 맞지 않음","23","공통","하","권한","수정완료","공통"
"[성능] 데이터가 많은 목록의 첫 화면 표시가 느림","24","Window","상","성능","수정중","데스크탑"
"[인쇄] 인쇄 미리보기에서 표 헤더가 두 번째 페이지부터 누락됨","25","MacOS","중","인쇄","신규","데스크탑"
"[도움말] 외부 문서 링크가 현재 탭에서 열림","26","공통","하","도움말","수정완료","공통"
